预测标签,威胁类型,置信度
3,R2L攻击,0.99870515
1,DoS攻击,0.9999994
0,正常,1.0
0,正常,0.99939394
0,正常,0.9090939
1,DoS攻击,0.9999989
1,DoS攻击,0.9999862
3,R2L攻击,0.696232
1,DoS攻击,0.99999285
0,正常,0.9999598
0,正常,1.0
4,探测攻击,0.9999987
0,正常,0.85745066
3,R2L攻击,0.47408232
0,正常,0.83079267
4,探测攻击,1.0
0,正常,0.46350634
0,正常,0.99496716
0,正常,0.98211116
3,R2L攻击,0.92787194
1,DoS攻击,0.99999964
0,正常,1.0
0,正常,0.98244023
0,正常,0.9901063
0,正常,0.98797184
1,DoS攻击,0.98105675
1,DoS攻击,1.0
3,R2L攻击,0.9991041
0,正常,0.9989322
0,正常,0.9999646
1,DoS攻击,0.9999999
0,正常,0.9999999
3,R2L攻击,0.9484056
0,正常,0.8610535
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,1.0
1,DoS攻击,0.9576087
1,DoS攻击,0.998422
0,正常,0.99981934
0,正常,0.9990503
0,正常,1.0
4,探测攻击,0.99558663
1,DoS攻击,0.99972254
1,DoS攻击,0.9614662
0,正常,1.0
1,DoS攻击,0.999941
3,R2L攻击,0.9666521
0,正常,1.0
0,正常,0.9839954
4,探测攻击,0.9999982
1,DoS攻击,0.56347317
1,DoS攻击,0.9999423
0,正常,1.0
1,DoS攻击,0.99999607
3,R2L攻击,0.9956513
0,正常,0.95406455
3,R2L攻击,0.53062695
0,正常,0.99944705
1,DoS攻击,0.9540343
1,DoS攻击,0.9999999
3,R2L攻击,0.5687578
0,正常,1.0
0,正常,0.8520176
1,DoS攻击,0.9999994
4,探测攻击,0.9999995
4,探测攻击,1.0
0,正常,0.9884851
4,探测攻击,0.9999634
4,探测攻击,0.99999535
1,DoS攻击,0.9613514
0,正常,0.9397114
3,R2L攻击,0.9273815
0,正常,0.9989322
1,DoS攻击,0.94486076
0,正常,1.0
0,正常,0.9999862
0,正常,0.9999366
0,正常,0.9172508
0,正常,0.99846715
3,R2L攻击,0.9521416
1,DoS攻击,0.9999994
1,DoS攻击,0.9999999
1,DoS攻击,0.9999894
0,正常,0.9995466
3,R2L攻击,0.9939036
1,DoS攻击,0.9738879
1,DoS攻击,0.99999976
3,R2L攻击,0.969927
0,正常,1.0
4,探测攻击,0.8911757
1,DoS攻击,0.99999976
3,R2L攻击,0.87833905
4,探测攻击,1.0
1,DoS攻击,0.99142116
1,DoS攻击,0.9999999
1,DoS攻击,0.9973347
0,正常,1.0
0,正常,0.98852414
1,DoS攻击,0.9999999
0,正常,1.0
1,DoS攻击,0.87603325
0,正常,0.99635565
1,DoS攻击,0.9999994
0,正常,0.93074703
1,DoS攻击,0.68834484
0,正常,0.9955917
0,正常,0.9999999
1,DoS攻击,0.9999999
0,正常,0.99999905
1,DoS攻击,0.64772195
1,DoS攻击,0.9328109
1,DoS攻击,0.97758114
0,正常,1.0
0,正常,0.99878246
0,正常,0.9696801
0,正常,1.0
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.6187349
1,DoS攻击,0.97368467
4,探测攻击,0.999936
1,DoS攻击,0.9999999
0,正常,0.9999968
3,R2L攻击,0.62300026
3,R2L攻击,0.61036074
1,DoS攻击,0.99999857
3,R2L攻击,0.9991335
0,正常,0.9955917
1,DoS攻击,0.93587625
0,正常,0.9986027
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.85745066
3,R2L攻击,0.96383756
0,正常,0.880089
0,正常,0.9999964
0,正常,0.909608
0,正常,0.83627003
0,正常,1.0
0,正常,0.9993013
0,正常,0.6737748
0,正常,0.99991107
4,探测攻击,1.0
4,探测攻击,0.99766326
4,探测攻击,0.9999989
4,探测攻击,0.99756
0,正常,0.99963355
4,探测攻击,0.97246224
3,R2L攻击,0.8994208
0,正常,0.9999925
0,正常,0.99999976
0,正常,1.0
0,正常,0.95288783
1,DoS攻击,0.99999976
0,正常,0.58363414
0,正常,0.99887294
1,DoS攻击,0.9999999
0,正常,0.99919575
1,DoS攻击,0.9999999
1,DoS攻击,0.6782258
0,正常,1.0
1,DoS攻击,0.9930453
0,正常,0.9989322
1,DoS攻击,0.9999999
3,R2L攻击,0.9950956
4,探测攻击,0.9999999
0,正常,1.0
1,DoS攻击,0.9999999
4,探测攻击,0.99999976
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.99631953
1,DoS攻击,0.9999993
0,正常,1.0
1,DoS攻击,0.9999987
0,正常,0.96967995
0,正常,0.99999964
1,DoS攻击,0.86555934
0,正常,1.0
1,DoS攻击,0.99999905
0,正常,0.87191004
0,正常,0.9992507
3,R2L攻击,0.9025259
0,正常,0.59504426
0,正常,1.0
1,DoS攻击,0.99999905
0,正常,1.0
3,R2L攻击,0.79749995
4,探测攻击,0.9999988
4,探测攻击,1.0
1,DoS攻击,0.9849771
0,正常,1.0
0,正常,1.0
0,正常,1.0
0,正常,0.9999962
0,正常,1.0
1,DoS攻击,0.9966863
1,DoS攻击,0.41391528
3,R2L攻击,0.49968988
1,DoS攻击,1.0
0,正常,1.0
4,探测攻击,0.96682125
0,正常,0.9999999
0,正常,1.0
0,正常,0.9999981
0,正常,0.9997806
1,DoS攻击,0.9999999
4,探测攻击,0.99960786
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9238431
0,正常,0.9999144
4,探测攻击,0.99870944
1,DoS攻击,1.0
0,正常,1.0
1,DoS攻击,0.9999999
3,R2L攻击,0.99394256
0,正常,0.80844367
1,DoS攻击,0.40197226
0,正常,1.0
1,DoS攻击,0.82651126
0,正常,0.99989676
1,DoS攻击,0.6696233
3,R2L攻击,0.9674566
4,探测攻击,0.99999416
1,DoS攻击,0.9553292
0,正常,1.0
0,正常,0.999833
0,正常,0.7825929
1,DoS攻击,0.99999774
0,正常,0.9988275
4,探测攻击,0.99999714
0,正常,0.9999999
1,DoS攻击,0.8999637
0,正常,1.0
0,正常,0.85745066
4,探测攻击,0.9999684
0,正常,0.9637898
0,正常,0.99993503
0,正常,1.0
1,DoS攻击,0.99476564
4,探测攻击,0.9730296
3,R2L攻击,0.99387944
0,正常,0.9172509
1,DoS攻击,0.99675375
1,DoS攻击,0.5674086
0,正常,0.9983423
0,正常,0.9999882
0,正常,0.91837245
0,正常,0.6694777
1,DoS攻击,0.8642571
0,正常,1.0
0,正常,0.9212621
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.62600505
3,R2L攻击,0.88535774
0,正常,1.0
0,正常,0.99998915
4,探测攻击,1.0
3,R2L攻击,0.6415858
0,正常,0.9999988
4,探测攻击,0.99156076
0,正常,0.8977174
1,DoS攻击,0.76014054
1,DoS攻击,1.0
0,正常,0.89575803
3,R2L攻击,0.99961877
1,DoS攻击,0.9999999
1,DoS攻击,0.99999964
1,DoS攻击,0.981289
1,DoS攻击,0.9999999
3,R2L攻击,0.8505313
0,正常,0.96968013
0,正常,0.99999976
0,正常,0.97883713
1,DoS攻击,0.97413594
1,DoS攻击,0.995481
0,正常,1.0
1,DoS攻击,0.99982435
1,DoS攻击,1.0
0,正常,1.0
1,DoS攻击,0.9999757
1,DoS攻击,0.9999999
0,正常,0.99843997
0,正常,0.99997556
0,正常,0.9976954
4,探测攻击,0.99967265
0,正常,0.59628665
4,探测攻击,1.0
3,R2L攻击,0.9467464
1,DoS攻击,0.9980825
0,正常,1.0
4,探测攻击,1.0
0,正常,0.9955917
4,探测攻击,0.9900136
1,DoS攻击,0.9999999
1,DoS攻击,0.9990113
0,正常,0.99407
1,DoS攻击,0.99999976
1,DoS攻击,0.9945939
0,正常,0.8602415
0,正常,0.8073036
0,正常,0.9986389
1,DoS攻击,0.99999976
0,正常,1.0
1,DoS攻击,0.9999995
1,DoS攻击,0.9691121
0,正常,1.0
1,DoS攻击,0.99999976
0,正常,0.9993037
0,正常,0.99895513
0,正常,0.99938476
0,正常,0.9999845
0,正常,0.95680565
3,R2L攻击,0.79444754
0,正常,0.8714686
4,探测攻击,0.99992406
0,正常,0.9999999
0,正常,1.0
3,R2L攻击,0.9472379
0,正常,0.9989905
1,DoS攻击,0.99999905
0,正常,0.99993455
0,正常,0.6193765
0,正常,1.0
0,正常,0.90336514
3,R2L攻击,0.7898275
4,探测攻击,0.99987364
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.99796486
0,正常,0.99988556
4,探测攻击,1.0
1,DoS攻击,0.57824165
0,正常,1.0
0,正常,0.99916303
4,探测攻击,0.9999994
0,正常,0.8756102
3,R2L攻击,0.9686534
1,DoS攻击,0.8315505
4,探测攻击,0.9999976
1,DoS攻击,1.0
0,正常,0.6894095
0,正常,0.99924624
1,DoS攻击,0.99994385
1,DoS攻击,0.5956137
0,正常,0.9993279
0,正常,1.0
0,正常,0.9999924
1,DoS攻击,0.9999999
0,正常,0.8400508
0,正常,0.99988174
0,正常,0.96257454
1,DoS攻击,0.9999982
4,探测攻击,0.77400166
4,探测攻击,0.9999987
1,DoS攻击,0.99999774
1,DoS攻击,0.9999999
0,正常,0.947755
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.99999964
1,DoS攻击,0.99999976
4,探测攻击,0.9999938
0,正常,1.0
4,探测攻击,0.9995322
0,正常,0.9912142
3,R2L攻击,0.38787833
0,正常,1.0
0,正常,0.99998486
4,探测攻击,0.9999995
3,R2L攻击,0.991891
1,DoS攻击,0.99999905
3,R2L攻击,0.7422289
1,DoS攻击,0.9999999
3,R2L攻击,0.5212736
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.70407206
4,探测攻击,1.0
0,正常,1.0
0,正常,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.99999905
0,正常,0.9993332
1,DoS攻击,0.9999999
0,正常,0.90798086
0,正常,0.9999932
0,正常,0.99751043
0,正常,0.99919885
0,正常,0.99448425
0,正常,0.99999976
1,DoS攻击,0.9999696
0,正常,1.0
0,正常,0.9999993
1,DoS攻击,0.99141544
0,正常,1.0
1,DoS攻击,1.0
0,正常,0.57993776
0,正常,0.8886965
0,正常,0.9993954
4,探测攻击,0.9999988
0,正常,0.99999654
0,正常,0.98967546
0,正常,1.0
0,正常,1.0
0,正常,0.8460601
1,DoS攻击,0.9970708
0,正常,0.8375084
3,R2L攻击,0.9685186
0,正常,1.0
4,探测攻击,1.0
0,正常,0.90437764
1,DoS攻击,0.59615093
1,DoS攻击,0.959059
3,R2L攻击,0.76682776
1,DoS攻击,0.9999999
0,正常,0.9172508
0,正常,0.9996026
1,DoS攻击,0.9999999
0,正常,0.9971854
0,正常,1.0
0,正常,0.8268403
0,正常,1.0
3,R2L攻击,0.93292874
0,正常,0.90336394
4,探测攻击,0.998579
3,R2L攻击,0.8925915
4,探测攻击,0.99676347
1,DoS攻击,0.9999999
1,DoS攻击,0.9999896
3,R2L攻击,0.94427246
0,正常,0.88913816
1,DoS攻击,1.0
0,正常,0.933266
1,DoS攻击,0.9967415
0,正常,0.9746377
0,正常,0.99999976
0,正常,0.9511214
1,DoS攻击,0.9999994
1,DoS攻击,0.92879343
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.9997316
1,DoS攻击,0.9999999
0,正常,0.9999988
0,正常,1.0
0,正常,0.68250144
0,正常,1.0
1,DoS攻击,0.99999917
4,探测攻击,1.0
0,正常,0.96968013
1,DoS攻击,0.7883661
1,DoS攻击,0.99999976
0,正常,0.9989048
0,正常,0.9999583
1,DoS攻击,0.99750996
0,正常,0.9987923
1,DoS攻击,0.9999999
1,DoS攻击,1.0
1,DoS攻击,0.9999989
0,正常,0.9999924
4,探测攻击,0.94819564
3,R2L攻击,0.8504933
0,正常,0.9988814
0,正常,0.99787164
1,DoS攻击,0.99999917
1,DoS攻击,0.8836836
0,正常,0.98547214
4,探测攻击,1.0
0,正常,0.9254324
4,探测攻击,1.0
4,探测攻击,0.99999976
0,正常,0.99990845
0,正常,0.99999356
0,正常,0.9955917
1,DoS攻击,0.9999975
1,DoS攻击,0.8811488
0,正常,0.96489966
0,正常,1.0
0,正常,0.6725079
3,R2L攻击,0.9896136
0,正常,1.0
0,正常,0.87146854
0,正常,0.6197573
0,正常,0.61138827
0,正常,0.94066906
3,R2L攻击,0.9825531
1,DoS攻击,0.90585315
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.99999976
0,正常,0.9933509
0,正常,0.9999999
0,正常,0.9994198
0,正常,0.9999765
1,DoS攻击,0.9999981
1,DoS攻击,0.9999999
4,探测攻击,0.99996865
0,正常,0.9999924
3,R2L攻击,0.9972127
1,DoS攻击,0.98623043
0,正常,1.0
3,R2L攻击,0.9579234
0,正常,0.67160976
1,DoS攻击,1.0
4,探测攻击,0.9999999
0,正常,0.7581483
4,探测攻击,0.99999714
0,正常,0.50076735
0,正常,0.64292353
0,正常,0.84909534
0,正常,0.999313
1,DoS攻击,0.9999999
4,探测攻击,1.0
0,正常,1.0
4,探测攻击,0.84193486
0,正常,0.5698743
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
0,正常,0.99999475
1,DoS攻击,0.9999999
0,正常,0.99627304
0,正常,1.0
0,正常,0.99998534
0,正常,1.0
1,DoS攻击,0.98254955
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9999999
4,探测攻击,1.0
0,正常,0.9894695
0,正常,0.99999976
0,正常,1.0
4,探测攻击,1.0
0,正常,0.9990398
1,DoS攻击,0.85646755
1,DoS攻击,0.9999999
4,探测攻击,0.9999418
1,DoS攻击,0.99999976
0,正常,0.99999917
0,正常,1.0
1,DoS攻击,0.9985499
0,正常,1.0
1,DoS攻击,0.9999181
1,DoS攻击,1.0
0,正常,0.9791206
0,正常,0.99993134
0,正常,0.99999
4,探测攻击,0.9175432
0,正常,0.9979347
0,正常,0.99723685
1,DoS攻击,0.9999999
4,探测攻击,0.9999969
0,正常,0.98814034
0,正常,0.9397117
0,正常,0.6101959
0,正常,0.6793027
1,DoS攻击,0.9999994
1,DoS攻击,0.9999999
0,正常,1.0
1,DoS攻击,0.94847214
3,R2L攻击,0.99712485
0,正常,0.9541998
1,DoS攻击,0.9992949
3,R2L攻击,0.9566519
4,探测攻击,0.9999981
1,DoS攻击,0.99999964
1,DoS攻击,0.9999999
1,DoS攻击,0.89859116
0,正常,0.99999774
0,正常,1.0
1,DoS攻击,0.9999993
0,正常,1.0
1,DoS攻击,0.99999976
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9999975
3,R2L攻击,0.8408115
1,DoS攻击,0.9999999
0,正常,0.9999939
1,DoS攻击,0.9999989
4,探测攻击,0.98119533
0,正常,1.0
0,正常,0.9999964
1,DoS攻击,0.9382504
0,正常,0.9990183
0,正常,0.515713
0,正常,0.5835051
0,正常,0.97883713
0,正常,0.7373736
1,DoS攻击,0.9999875
0,正常,0.6090971
1,DoS攻击,0.9999999
0,正常,0.94886094
0,正常,1.0
0,正常,0.8519583
0,正常,0.99572635
1,DoS攻击,0.9999999
0,正常,0.9993405
0,正常,1.0
1,DoS攻击,0.99637103
0,正常,0.9825094
1,DoS攻击,0.6759648
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.98547214
1,DoS攻击,0.99667203
4,探测攻击,0.9999999
4,探测攻击,0.7333673
0,正常,1.0
0,正常,0.83042145
0,正常,1.0
1,DoS攻击,0.9999976
4,探测攻击,1.0
1,DoS攻击,1.0
1,DoS攻击,0.6338397
0,正常,1.0
0,正常,0.85908484
0,正常,0.9984981
0,正常,0.98972845
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.99999976
0,正常,1.0
3,R2L攻击,0.874211
1,DoS攻击,0.7215878
0,正常,0.9999821
0,正常,0.9999503
1,DoS攻击,1.0
1,DoS攻击,0.9999999
1,DoS攻击,1.0
1,DoS攻击,0.5943298
1,DoS攻击,0.58368737
0,正常,0.9488608
0,正常,0.85455537
0,正常,0.9995772
0,正常,0.5070124
0,正常,0.98211116
0,正常,0.999035
0,正常,0.9970132
1,DoS攻击,0.9999999
0,正常,0.99999976
1,DoS攻击,0.9999926
1,DoS攻击,0.9999999
0,正常,0.6239315
0,正常,0.99998176
4,探测攻击,0.99999976
1,DoS攻击,1.0
1,DoS攻击,0.9831529
0,正常,0.69193524
1,DoS攻击,1.0
0,正常,0.98519903
0,正常,0.9999999
0,正常,1.0
0,正常,0.84806573
0,正常,0.98211116
0,正常,0.9992507
0,正常,0.9999734
0,正常,1.0
1,DoS攻击,1.0
0,正常,1.0
0,正常,1.0
0,正常,0.99999976
0,正常,0.9692221
1,DoS攻击,0.9999982
4,探测攻击,0.999984
0,正常,1.0
3,R2L攻击,0.6163165
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.99999976
3,R2L攻击,0.96793747
1,DoS攻击,0.99999976
0,正常,0.99641526
1,DoS攻击,0.999997
3,R2L攻击,0.85226023
1,DoS攻击,0.93642914
0,正常,0.9999651
0,正常,0.86203676
0,正常,0.9691176
0,正常,1.0
3,R2L攻击,0.9960576
1,DoS攻击,0.7174875
1,DoS攻击,0.9986168
0,正常,0.9992655
0,正常,0.9999932
0,正常,0.6877276
3,R2L攻击,0.7936084
4,探测攻击,0.588745
1,DoS攻击,0.9999995
4,探测攻击,1.0
0,正常,0.9999993
1,DoS攻击,0.9999999
4,探测攻击,0.9719269
1,DoS攻击,0.99999976
1,DoS攻击,0.99999976
0,正常,0.999132
1,DoS攻击,0.9394729
4,探测攻击,0.99972576
4,探测攻击,0.9999366
1,DoS攻击,0.99999964
0,正常,0.9964702
0,正常,1.0
0,正常,1.0
0,正常,0.9999968
3,R2L攻击,0.9444274
1,DoS攻击,0.9999989
1,DoS攻击,0.9999987
0,正常,0.9999037
0,正常,0.5357911
1,DoS攻击,0.99999857
4,探测攻击,0.9999938
1,DoS攻击,0.9999999
1,DoS攻击,0.77026755
0,正常,0.99999905
0,正常,0.9992329
0,正常,0.9996369
1,DoS攻击,0.9999999
0,正常,0.796516
1,DoS攻击,0.99999964
1,DoS攻击,0.99999905
1,DoS攻击,0.94981754
1,DoS攻击,0.9999969
4,探测攻击,1.0
0,正常,0.9993424
0,正常,0.8886965
0,正常,1.0
1,DoS攻击,1.0
0,正常,0.5552418
0,正常,0.9756595
0,正常,0.9184106
1,DoS攻击,0.99999917
1,DoS攻击,0.9509357
1,DoS攻击,0.9999999
0,正常,0.9084306
1,DoS攻击,0.9999999
1,DoS攻击,0.8697944
0,正常,0.9292968
1,DoS攻击,0.999998
0,正常,0.7965161
1,DoS攻击,1.0
3,R2L攻击,0.9693197
4,探测攻击,0.99910873
4,探测攻击,0.9999999
0,正常,0.99919945
1,DoS攻击,0.99999845
1,DoS攻击,0.9999999
3,R2L攻击,0.9955953
1,DoS攻击,0.9987016
0,正常,0.9964508
0,正常,1.0
3,R2L攻击,0.99963593
3,R2L攻击,0.6307249
1,DoS攻击,0.99999976
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.9412768
4,探测攻击,0.9980332
1,DoS攻击,0.8838256
1,DoS攻击,1.0
1,DoS攻击,0.99999976
3,R2L攻击,0.9988631
0,正常,0.81372726
0,正常,0.92333686
3,R2L攻击,0.9476017
0,正常,0.9971661
4,探测攻击,1.0
0,正常,0.9637898
1,DoS攻击,0.9999999
0,正常,0.81214434
0,正常,0.98972845
4,探测攻击,1.0
3,R2L攻击,0.9443214
1,DoS攻击,0.99999976
0,正常,0.94886124
0,正常,0.9746377
0,正常,0.83040863
1,DoS攻击,0.64772207
1,DoS攻击,0.99999976
0,正常,0.99963784
3,R2L攻击,0.6337718
1,DoS攻击,0.9999999
1,DoS攻击,1.0
0,正常,0.9994062
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999021
0,正常,0.99993277
1,DoS攻击,0.99937075
0,正常,0.99999917
1,DoS攻击,1.0
0,正常,0.99999344
4,探测攻击,1.0
1,DoS攻击,0.66107553
0,正常,0.85745066
1,DoS攻击,0.9999999
1,DoS攻击,0.7882139
0,正常,1.0
0,正常,1.0
4,探测攻击,0.91083527
0,正常,1.0
4,探测攻击,1.0
0,正常,1.0
0,正常,0.9993279
1,DoS攻击,0.9178362
4,探测攻击,1.0
4,探测攻击,1.0
0,正常,0.98972845
1,DoS攻击,0.97162074
0,正常,1.0
1,DoS攻击,0.97845477
1,DoS攻击,0.98977786
3,R2L攻击,0.9962919
0,正常,0.9993641
1,DoS攻击,0.99187285
0,正常,0.99641526
0,正常,1.0
4,探测攻击,0.94794416
1,DoS攻击,1.0
0,正常,1.0
1,DoS攻击,0.6353262
1,DoS攻击,0.9999988
1,DoS攻击,0.9999999
3,R2L攻击,0.9962256
0,正常,1.0
1,DoS攻击,0.8388264
1,DoS攻击,0.9475945
3,R2L攻击,0.6716402
0,正常,0.99999297
0,正常,1.0
0,正常,0.9359618
3,R2L攻击,0.98907834
3,R2L攻击,0.9911146
3,R2L攻击,0.77235615
0,正常,0.9855729
1,DoS攻击,0.9999927
4,探测攻击,0.9999261
1,DoS攻击,0.75792545
0,正常,1.0
4,探测攻击,0.98876464
0,正常,0.999997
0,正常,0.9684702
0,正常,0.9999403
1,DoS攻击,0.9999999
0,正常,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
1,DoS攻击,0.99933213
1,DoS攻击,0.6025974
0,正常,0.9999968
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,0.9680885
1,DoS攻击,0.9999999
0,正常,0.9831397
0,正常,1.0
0,正常,0.9999995
1,DoS攻击,0.9999999
1,DoS攻击,0.9935261
0,正常,0.8122941
0,正常,0.94328445
0,正常,1.0
1,DoS攻击,0.99999976
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
3,R2L攻击,0.99081135
0,正常,0.8714686
4,探测攻击,1.0
4,探测攻击,0.6169333
1,DoS攻击,0.9999995
0,正常,0.9999529
1,DoS攻击,0.9999999
3,R2L攻击,0.7784942
0,正常,0.93781585
1,DoS攻击,0.9627376
1,DoS攻击,1.0
0,正常,0.999985
3,R2L攻击,0.9972703
0,正常,1.0
0,正常,0.99999607
4,探测攻击,1.0
1,DoS攻击,0.99912494
0,正常,0.9172491
1,DoS攻击,0.9999999
3,R2L攻击,0.99459606
1,DoS攻击,0.991334
1,DoS攻击,0.9999999
4,探测攻击,0.99978966
0,正常,1.0
0,正常,0.9397114
0,正常,0.9994679
0,正常,0.9746377
3,R2L攻击,0.9603115
4,探测攻击,0.9999994
0,正常,1.0
0,正常,0.9997906
1,DoS攻击,0.9999999
1,DoS攻击,0.8472347
4,探测攻击,0.99999976
0,正常,1.0
0,正常,0.9996006
3,R2L攻击,0.7254553
0,正常,1.0
3,R2L攻击,0.6847549
0,正常,1.0
0,正常,0.92126197
3,R2L攻击,0.893515
1,DoS攻击,0.99999976
0,正常,0.99996006
1,DoS攻击,1.0
0,正常,0.989883
0,正常,0.6737748
1,DoS攻击,0.9999999
3,R2L攻击,0.48880476
0,正常,1.0
4,探测攻击,0.9999958
1,DoS攻击,0.9999999
0,正常,0.985472
0,正常,0.99941766
1,DoS攻击,0.99999917
0,正常,0.9975502
1,DoS攻击,0.8204191
4,探测攻击,0.9826597
0,正常,1.0
1,DoS攻击,0.9990402
0,正常,1.0
1,DoS攻击,0.99999976
0,正常,0.9981134
4,探测攻击,1.0
3,R2L攻击,0.92256725
0,正常,0.998285
0,正常,0.99999964
0,正常,1.0
0,正常,0.9292968
3,R2L攻击,0.99746716
1,DoS攻击,0.98252136
0,正常,0.77728796
0,正常,0.9999355
4,探测攻击,0.9999999
0,正常,0.66698956
1,DoS攻击,0.99995947
1,DoS攻击,0.9999999
1,DoS攻击,0.9999994
0,正常,0.7958498
1,DoS攻击,0.9999989
1,DoS攻击,0.9999999
4,探测攻击,0.99998677
0,正常,1.0
0,正常,0.9999981
1,DoS攻击,0.9999999
0,正常,0.53545177
3,R2L攻击,0.9951957
1,DoS攻击,0.98782176
4,探测攻击,0.9813607
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
4,探测攻击,0.9999523
1,DoS攻击,0.99999857
3,R2L攻击,0.52125216
0,正常,0.9746377
3,R2L攻击,0.9988267
1,DoS攻击,0.99999964
0,正常,0.9989905
3,R2L攻击,0.74526143
0,正常,0.9962287
0,正常,0.99998224
4,探测攻击,0.99996483
1,DoS攻击,0.88786244
0,正常,1.0
1,DoS攻击,1.0
1,DoS攻击,0.99965286
1,DoS攻击,0.9409382
3,R2L攻击,0.9975223
0,正常,0.9999999
0,正常,0.9988814
4,探测攻击,0.99999917
0,正常,0.8546037
0,正常,1.0
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.65132546
0,正常,1.0
1,DoS攻击,1.0
4,探测攻击,0.99731535
1,DoS攻击,0.99999976
0,正常,0.97139525
1,DoS攻击,0.9999958
0,正常,1.0
0,正常,0.7847412
1,DoS攻击,0.997658
4,探测攻击,1.0
0,正常,0.99999464
1,DoS攻击,0.6735973
1,DoS攻击,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.9999962
1,DoS攻击,0.93170696
1,DoS攻击,0.9999999
0,正常,0.9975828
1,DoS攻击,0.99992657
0,正常,1.0
1,DoS攻击,0.9578345
0,正常,1.0
0,正常,0.9172508
0,正常,0.9999529
1,DoS攻击,0.85980374
0,正常,0.99932325
1,DoS攻击,0.9999894
0,正常,0.9992219
1,DoS攻击,0.9999999
1,DoS攻击,0.99999714
0,正常,0.9953068
0,正常,0.6348895
4,探测攻击,0.9999783
0,正常,0.9985322
0,正常,0.9994659
0,正常,0.9928168
0,正常,1.0
1,DoS攻击,0.8779622
3,R2L攻击,0.99877363
1,DoS攻击,0.9999999
1,DoS攻击,0.9999999
0,正常,1.0
0,正常,1.0
0,正常,0.90336263
1,DoS攻击,0.9999999
1,DoS攻击,0.94813913
4,探测攻击,1.0
0,正常,0.9292969
4,探测攻击,0.99158645
3,R2L攻击,0.72150004
1,DoS攻击,0.93708044
0,正常,0.99999964
0,正常,0.8680721
0,正常,0.9836595
0,正常,0.9999083
0,正常,0.9999943
4,探测攻击,0.9944443
3,R2L攻击,0.70748764
1,DoS攻击,0.9999999
4,探测攻击,0.9998179
1,DoS攻击,0.9579653
0,正常,1.0
3,R2L攻击,0.93100494
3,R2L攻击,0.989553
0,正常,0.99731344
1,DoS攻击,0.99572915
1,DoS攻击,0.9999994
0,正常,1.0
3,R2L攻击,0.8628565
1,DoS攻击,0.99999964
0,正常,1.0
1,DoS攻击,0.99999785
0,正常,0.9999273
0,正常,0.9992685
4,探测攻击,1.0
1,DoS攻击,0.92346424
0,正常,0.9998815
1,DoS攻击,0.99999905
1,DoS攻击,0.8319561
4,探测攻击,0.9993543
0,正常,0.9637897
0,正常,0.6351823
1,DoS攻击,0.99819237
3,R2L攻击,0.6225225
1,DoS攻击,0.9999999
0,正常,0.67425656
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.84035265
0,正常,0.99883777
0,正常,0.9696796
0,正常,1.0
3,R2L攻击,0.9663373
1,DoS攻击,0.9700677
4,探测攻击,1.0
1,DoS攻击,0.9999999
1,DoS攻击,0.99999225
3,R2L攻击,0.99603516
0,正常,1.0
1,DoS攻击,0.9999999
4,探测攻击,0.99999213
0,正常,0.99999976
0,正常,0.9991714
0,正常,1.0
1,DoS攻击,0.9999999
0,正常,0.99641526
1,DoS攻击,0.9999999
3,R2L攻击,0.9797538
1,DoS攻击,0.9999999
1,DoS攻击,0.97909
3,R2L攻击,0.9359505
3,R2L攻击,0.9991041
1,DoS攻击,1.0
0,正常,0.9969453
1,DoS攻击,0.9999999
1,DoS攻击,0.9982368
1,DoS攻击,0.999998
1,DoS攻击,0.94709545
1,DoS攻击,0.99999833
4,探测攻击,1.0
4,探测攻击,0.9986052
1,DoS攻击,0.99999976
3,R2L攻击,0.9885931
4,探测攻击,1.0
0,正常,0.9999999
